url,title,Location,Description,Company
https://climatebase.org/job/46547423/technischer-anlagenfhrer--maschinen--und-anlagentechniker-mwd?source=jobs_directory,Technischer Anlagenführer / Maschinen- und Anlagentechniker (m/w/d),Grevesmühlen,,Novocarbo GmbH
https://climatebase.org/job/46522328/applications-engineer-mechanical-or-chemical-engineering?source=jobs_directory,Applications Engineer (Mechanical or Chemical Engineering),Remote,"A passion for contributing to sustainable energy transition An education base in Mechanical or Chemical Engineering or equivalent Engineering work experience +3 yrs work experience in a related roleBasic proficiency in coding (Python, Visual Basic)Ability to operate autonomously and self-direct toward the highest priorityExcellent communication and teamwork abilitiesInnovative and results-oriented thinkingAbility to connect and build trust with a wide variety of customers or potential customersThe ability to travel occasionally as needed within the United States for customer or investor meetings ","Rondo Energy, Inc"
https://climatebase.org/job/46611876/manufacturing-technician?source=jobs_directory,Manufacturing Technician,"Alameda, CA",,"Rondo Energy, Inc"
https://climatebase.org/job/46612276/commissioning-manager?source=jobs_directory,Commissioning Manager,"Moses Lake, Washington","You have technical training in engineering technology with minimum 10+ years of experience in commissioning and/or operations of plants and facilities.You have a mechanical or chemical background and hydrocarbon skills/knowledge.You are knowledgeable in:Instrumentation and associated control systemsElectrical systems for power distribution and control (low and high voltage)Mechanical systems including installation and operation of rotating equipment from small pumps to large compression units; in-depth knowledge of commissioning and safety work processesYou have excellent leadership, communication and planning skills.You are able to travel up to 50% of the time (domestically).",Twelve
https://climatebase.org/job/46612011/principle-product-manager---billing-12-months-ftc?source=jobs_directory,Principle Product Manager - Billing (12 months FTC),"London, England, United Kingdom","10+ years of experience as a subject matter expert within energy retail and operations, working for an energy retailer, regulator, energy consultancy or energy software provider Strong understanding of the UK Licences and Regulatory codes Experience of working with product teams in an agile environment A passion for building great products to solve retailer pain pointsAn ability to tailor your communication style to the audience and simplify the complex in explanationsA problem-solving mindset and collaborative approach",Kaluza
https://climatebase.org/job/46437111/patent-attorney?source=jobs_directory,Patent Attorney,"Alameda, CA","5+ years of experience practicing patent law, with a strong preference for experience in the energy sectorJuris Doctorate with admission to practice law in Washington State or California BS/Bachelor’s, MS/Master’s or Ph.D. in Mechanical Engineering or Physics An understanding of relevant technologies: mechanical and electromechanical systems, thermal energy storage, renewable energy technologies Experience in drafting and prosecuting patent applications in a fast-paced environment, developing patent strategies and conducting associated patent analyses, due diligence, transactions and licensing Highly knowledgeable on technical, scientific and legal aspects of intellectual property Outstanding communication skills with the ability to simplify complex information Analytical thinking with strong conceptual and research skills Natural leader who displays sound judgment and attention to detail Ability to work under pressure and meet deadlines Ability to work independently and as part of a team Ability to disseminate complex information to stakeholders as needed ","Rondo Energy, Inc"
https://climatebase.org/job/46566512/produktionsmitarbeiter---anlagenbetreiber-mwd?source=jobs_directory,Produktionsmitarbeiter - Anlagenbetreiber (m/w/d),Grevesmühlen,,Novocarbo GmbH
https://climatebase.org/job/46453127/staff-quality-engineer?source=jobs_directory,Staff Quality Engineer,"Somerville, MA","5 to 10 years experience of quality systems experience in a manufacturing environmentExperienced in QS-9000, ISO/TS 16949, APQP, PPAP, SPC, DFMEA, PFMEAStrong aptitude with electronic test and measurements systemsBasic understanding of reliability fundamentals, including validation tracks as well as tools, modeling, to calculate metrics such as, Mean Time to Failure (MTTF), estimated warranty costs, etc.Proficiency in reading and interpreting mechanical drawings and wiring diagramsStructured problem-solving (8D) and analytical skills, including strong technical skills in statistical tools, Design of Experiments (DOE), Process Capability (Cpk, Ppk), etc.Enjoys working in a dynamic, fast-paced environmentDetail-oriented with strong record-keeping and organizational skillsAbility to use technological tools and business system applications to manage, synthesize, and interpret dataAbility to operate relevant personal computing hardware and standard softwareBachelor’s degree in ME or EE or similar fields requiredKnowledge of Lean Manufacturing practices, 5S, TPS, TQM, etc., highly desired",Form Energy
https://climatebase.org/job/46613873/sr-process-development-engineer?source=jobs_directory,Sr. Process Development Engineer,"Fremont, CA","BS+ degree in chemical engineering or related field10+ years of experience in process/project engineering roles in an applicable chemical industryExtensive relevant engineering experience in process scale up and commercialization of new chemical technologies Perficient in process hazard analyses (PHA, HAZOP, LOPA) Experience with CAD, chemical & process modeling, and advanced computation software Experience with biogas and/or CO2 utilization processes is preferred  Team player:  Be able to share knowledge, leading the team, and support other groups Strong interpersonal, organizational, and communication skills",ReCarbon
https://climatebase.org/job/46612281/plant-operator-ii?source=jobs_directory,Plant Operator II,"Moses Lake, Washington","You have a high school diploma or GED (Graduate Equivalency Degree).You have 4+ years of relevant work experience:Troubleshooting process equipment in a manufacturing or chemical plant settingOperating a control board via HMIPreparing for equipment maintenance - LOTOYou have basic computer skills.You have excellent communication skills and the ability to work as part of a team.You have strong troubleshooting and problem-solving skills.You are forklift certified (or able to become certified).You are willing to travel up to 30% for training, commissioning, and startup assistance.You are willing to take part in Twelve’s emergency response team, including fire and rescue. ",Twelve
