job_title,job_detail_url,job_listed,company_name,company_link,company_location
"Contract Administrator, Rights Management",https://www.linkedin.com/jobs/view/contract-administrator-rights-management-at-lionsgate-3623118215?refId=X7S1SPMncPy8uyIWb2ohyQ%3D%3D&trackingId=9MUlh2hgHa%2FaOPxveW28SA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,3 weeks ago,Lionsgate,https://www.linkedin.com/company/lionsgate?trk=public_jobs_jserp-result_job-search-card-subtitle,"Santa Monica, CA"
Commercial Contracts Specialist (100% REMOTE),https://www.linkedin.com/jobs/view/commercial-contracts-specialist-100%25-remote-at-spectraforce-3616924514?refId=X7S1SPMncPy8uyIWb2ohyQ%3D%3D&trackingId=5CHMY7yGCcz4zkfCaHGu%2FQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,1 month ago,SPECTRAFORCE,https://www.linkedin.com/company/spectraforce?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Mateo, CA"
Associate Contract Manager - Fully Remote,https://www.linkedin.com/jobs/view/associate-contract-manager-fully-remote-at-magellan-health-3629176753?refId=X7S1SPMncPy8uyIWb2ohyQ%3D%3D&trackingId=g2zIu%2BX%2BWJ2tK04NUSKjRw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago,Magellan Health,https://www.linkedin.com/company/magellan-health?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Contract Paralegal -  Document Review,https://www.linkedin.com/jobs/view/contract-paralegal-document-review-at-tlt-llp-3632362264?refId=X7S1SPMncPy8uyIWb2ohyQ%3D%3D&trackingId=t0ElgYpF8kDIDfNmNfX6Ag%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,TLT LLP,https://uk.linkedin.com/company/tlt?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Contract Administrator - Remote | WFH,https://www.linkedin.com/jobs/view/contract-administrator-remote-wfh-at-get-it-recruit-information-technology-3630999705?refId=X7S1SPMncPy8uyIWb2ohyQ%3D%3D&trackingId=AXmsGpLAIS5QJGPcPgUZbw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,Get It Recruit - Information Technology,https://www.linkedin.com/company/get-it-recruit-information-technology?trk=public_jobs_jserp-result_job-search-card-subtitle,"Phoenix, AZ"
Contract Review Consultant,https://www.linkedin.com/jobs/view/contract-review-consultant-at-axelon-services-corporation-3610518439?refId=X7S1SPMncPy8uyIWb2ohyQ%3D%3D&trackingId=%2BBYSeeLnTlAfWpkCCNiWDA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,1 month ago,Axelon Services Corporation,https://www.linkedin.com/company/axelon-services-corp.?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Junior Contract Specialist-Remote,https://www.linkedin.com/jobs/view/junior-contract-specialist-remote-at-integrity-management-consulting-3622582435?refId=X7S1SPMncPy8uyIWb2ohyQ%3D%3D&trackingId=exP50XKUMmfKON5TABoyVg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago,Integrity Management Consulting,https://www.linkedin.com/company/integrity-management-consulting?trk=public_jobs_jserp-result_job-search-card-subtitle,"Arlington, VA"
Legal Contract Specialist,https://www.linkedin.com/jobs/view/legal-contract-specialist-at-veic-3608161574?refId=X7S1SPMncPy8uyIWb2ohyQ%3D%3D&trackingId=Sg9JlHdYBAXMjQW4hkSuOA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago,VEIC,https://www.linkedin.com/company/veic?trk=public_jobs_jserp-result_job-search-card-subtitle,"Winooski, VT"
Senior Contract Specialist,https://www.linkedin.com/jobs/view/senior-contract-specialist-at-open-technology-fund-3613946809?refId=X7S1SPMncPy8uyIWb2ohyQ%3D%3D&trackingId=fjtbMQxEawkwJhwbYs7j3w%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,1 month ago,Open Technology Fund,https://www.linkedin.com/company/open-technology-fund?trk=public_jobs_jserp-result_job-search-card-subtitle,"Washington, DC"
Contract Paralegal,https://www.linkedin.com/jobs/view/contract-paralegal-at-leeds-professional-resources-3638387613?refId=X7S1SPMncPy8uyIWb2ohyQ%3D%3D&trackingId=lCZfJ1TsuP%2BxT3QHq2Pang%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,Leeds Professional Resources,https://www.linkedin.com/company/leeds-professional-resources?trk=public_jobs_jserp-result_job-search-card-subtitle,"Miami, FL"
Contract Manager,https://www.linkedin.com/jobs/view/contract-manager-at-wideorbit-3628259840?refId=X7S1SPMncPy8uyIWb2ohyQ%3D%3D&trackingId=diRLEigb%2FKefeTeJ4H2w1g%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago,WideOrbit,https://www.linkedin.com/company/wideorbit?trk=public_jobs_jserp-result_job-search-card-subtitle,"Denver, CO"
Contract and Compliance Specialist - Remote | WFH,https://www.linkedin.com/jobs/view/contract-and-compliance-specialist-remote-wfh-at-get-it-recruit-transportation-3640346877?refId=X7S1SPMncPy8uyIWb2ohyQ%3D%3D&trackingId=WI4cvpAOJNLEIN7%2BjYDFHw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,57 minutes ago,Get It Recruit - Transportation,https://www.linkedin.com/company/get-it-recruit-transportation?trk=public_jobs_jserp-result_job-search-card-subtitle,"Philadelphia, PA"
Contract Compliance Analyst - Remote | WFH,https://www.linkedin.com/jobs/view/contract-compliance-analyst-remote-wfh-at-get-it-recruit-real-estate-3628974134?refId=X7S1SPMncPy8uyIWb2ohyQ%3D%3D&trackingId=V62OUnOQ8ZePaa0mFlLhAw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,Get It Recruit - Real Estate,https://www.linkedin.com/company/get-it-recruit-real-estate?trk=public_jobs_jserp-result_job-search-card-subtitle,"Charlotte, NC"
